time,incidence
0,3
1,11
2,15
3,19
4,24
5,22
6,21
7,19
8,37
9,30
10,47
11,53
12,40
13,39
14,45
15,45
16,47
17,49
18,34
19,35
20,23
21,24
22,20
23,20
24,13
25,15
26,14
27,8
28,4
29,6
30,8
31,8
32,5
33,4
34,5
35,4
36,4
37,2
38,3
39,0
40,0
